raw_code,link_count,registry_classification,routing_classification,canonical_code,is_core_alias,canonical_name,parent_code,root_code,wiktionary_section,parent_chain_json,components_json,source_language_counts_json,example_1_source_lang,example_1_source_word,example_1_source_pos,example_1_source_id,example_1_target_word,example_1_target_label,example_1_anchor,example_2_source_lang,example_2_source_word,example_2_source_pos,example_2_source_id,example_2_target_word,example_2_target_label,example_2_anchor,example_3_source_lang,example_3_source_word,example_3_source_pos,example_3_source_id,example_3_target_word,example_3_target_label,example_3_anchor
kok,24,full_language,,kok,false,Konkani,,,,[],[],"{""en"": 20, ""id"": 1, ""pt"": 3}",en,Goa,name,249455,गोंय,,,en,pav,noun,406937,पाव,,,en,sanna,noun,432688,सान्नां,,
mia,24,full_language,,mia,false,Miami,,,,[],[],"{""ca"": 1, ""en"": 14, ""eo"": 3, ""fr"": 2, ""it"": 1, ""pl"": 3}",fr,Missouri,name,38082,wimihsoorita,,,fr,Ouisconsin,name,394543,meeskohsinki,,,it,Chicago,name,14738,šikaakwa,,
mos,24,full_language,,mos,false,Moore,,,,[],[],"{""ca"": 1, ""cs"": 1, ""da"": 1, ""de"": 1, ""en"": 5, ""es"": 1, ""fi"": 1, ""fr"": 3, ""hu"": 1, ""id"": 1, ""it"": 1, ""nb"": 1, ""nl"": 1, ""pl"": 2, ""ro"": 1, ""sv"": 1, ""tr"": 1}",fr,Burkina Faso,name,34976,burkĩna,,,fr,Ouagadougou,name,44656,Waogdgo,,,fr,zaï,noun,108861,zaï,,
nan,24,full_language,,nan,false,Min Nan,,,,[],[],"{""en"": 10, ""fr"": 1, ""id"": 10, ""vi"": 3}",fr,youyou,noun,110814,搖搖,,,en,Boo,name,154266,巫,,,en,kolo mee,noun,423056,哥羅麵,,
pau,24,full_language,,pau,false,Palauan,,,,[],[],"{""cs"": 2, ""de"": 1, ""en"": 4, ""eo"": 1, ""es"": 2, ""fi"": 1, ""fr"": 1, ""hu"": 1, ""id"": 3, ""it"": 1, ""nb"": 1, ""pl"": 1, ""pt"": 1, ""ru"": 2, ""sv"": 1, ""uk"": 1}",fr,Palaos,name,97887,Belau,,,de,Palau,name,85517,Belau,,,es,Palaos,name,123719,Belau,,
prn,24,full_language,,prn,false,Prasuni,,,,[],[],"{""en"": 22, ""la"": 2}",en,new,adj,796,unü,,,en,long,adj,2383,jigni,,,en,name,noun,3789,nom,,
tew,24,full_language,,tew,false,Tewa,,,,[],[],"{""en"": 18, ""eo"": 1, ""es"": 1, ""fi"": 1, ""pt"": 3}",es,chimayó,noun,756544,Tsi Mayoh,,,en,Navajo,noun,276700,navahúuˀu,,,en,Tewa,adj,528422,Téwa,,
tpi,24,full_language,,tpi,false,Tok Pisin,,,,[],[],"{""en"": 21, ""id"": 2, ""vi"": 1}",en,me fellow,pron,38707,mipela,,,en,belong,prep,79173,bilong,,,en,sing-sing,noun,100744,singsing,,
zng,24,full_language,,zng,false,Mang,,,,[],[],"{""vi"": 24}",vi,nhà,noun,168,ɲua⁶,,,vi,đất,noun,1268,teː⁶,,,vi,cá,noun,1509,ʔaː¹,,
ee,23,full_language,,ee,false,Ewe,,,,[],[],"{""en"": 9, ""fi"": 1, ""id"": 3, ""it"": 1, ""nb"": 2, ""nl"": 3, ""pt"": 3, ""sv"": 1}",it,agama,noun,175454,agama,,,en,voodoo,noun,245906,vódũ,,,en,Togo,name,318720,to,,
"es,ca",23,multiple_languages,,,false,,,,,[],"[{""input"": ""es"", ""classification"": ""full_language"", ""canonical"": ""es"", ""name"": ""Spanish""}, {""input"": ""ca"", ""classification"": ""full_language"", ""canonical"": ""ca"", ""name"": ""Catalan""}]","{""en"": 1, ""fr"": 4, ""gl"": 2, ""it"": 2, ""pt"": 14}",fr,enceinte,adj,9414,encinta,,,fr,disculper,verb,67650,disculpar,,,it,imboccare,verb,57308,embocar,,
